City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Right Now,Country,Date
124,Iquitos,-3.7481,-73.2472,86.04,70,0,2.3,clear sky,PE,2022-01-31 23:44:43
125,Berlevag,70.8578,29.0864,22.84,81,89,8.97,overcast clouds,NO,2022-01-31 23:42:13
126,Yulara,-25.2406,130.9889,71.44,100,100,17.27,moderate rain,AU,2022-01-31 23:44:43
127,Petropavlovsk-Kamchatskiy,53.0452,158.6483,25.39,74,100,13.42,light shower snow,RU,2022-01-31 23:44:43
128,Arlit,18.7369,7.3853,54.3,21,0,3.6,clear sky,NE,2022-01-31 23:44:44
129,Wahpeton,46.2652,-96.6059,26.42,80,40,17.27,scattered clouds,US,2022-01-31 23:40:29
130,College,64.8569,-147.8028,-7.42,73,0,0.0,clear sky,US,2022-01-31 23:44:44
131,Narsaq,60.9167,-46.05,26.82,93,100,2.59,light snow,GL,2022-01-31 23:44:45
132,Avarua,-21.2078,-159.775,71.65,100,100,9.22,heavy intensity rain,CK,2022-01-31 23:44:45
133,Khatanga,71.9667,102.5,-29.13,100,42,2.82,scattered clouds,RU,2022-01-31 23:44:45
134,Honghu,29.8206,113.4621,39.65,81,98,6.69,overcast clouds,CN,2022-01-31 23:44:46
135,Katsuura,35.1333,140.3,44.11,43,89,6.62,overcast clouds,JP,2022-01-31 23:41:06
136,Tasiilaq,65.6145,-37.6368,8.76,98,96,5.26,overcast clouds,GL,2022-01-31 23:41:54
137,Rochegda,62.8,43.25,8.22,94,100,7.09,overcast clouds,RU,2022-01-31 23:45:47
138,Bambous Virieux,-20.3428,57.7575,79.21,78,75,14.97,broken clouds,MU,2022-01-31 23:45:47
139,Morant Bay,17.8815,-76.4093,78.42,84,20,11.48,few clouds,JM,2022-01-31 23:45:47
140,Aktau,43.65,51.2,30.78,87,100,8.23,overcast clouds,KZ,2022-01-31 23:45:48
141,Ranau,5.9538,116.6641,70.45,84,53,1.72,broken clouds,MY,2022-01-31 23:45:48
142,Kysyl-Syr,63.8986,122.7617,-30.75,99,59,4.05,broken clouds,RU,2022-01-31 23:45:48
143,Hermanus,-34.4187,19.2345,73.9,88,2,9.01,clear sky,ZA,2022-01-31 23:45:49
144,Qaanaaq,77.484,-69.3632,-22.63,52,0,11.16,clear sky,GL,2022-01-31 23:41:01
145,Port Keats,-14.25,129.55,82.18,80,57,22.37,broken clouds,AU,2022-01-31 23:45:49
146,Vetluzhskiy,58.3902,45.4654,21.67,95,100,8.1,light snow,RU,2022-01-31 23:45:50
147,La Ronge,55.1001,-105.2842,5.25,72,100,16.11,overcast clouds,CA,2022-01-31 23:45:50
148,Yvetot,49.6174,0.7581,44.56,88,15,8.32,few clouds,FR,2022-01-31 23:45:51
149,Seoul,37.5683,126.9778,31.39,83,98,8.05,light snow,KR,2022-01-31 23:43:32
150,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,75,0.0,light snow,CA,2022-01-31 23:45:51
