City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,Aripuana,-9.1667,-60.6333,80.71,88,91,3.09,BR,2022-01-28 17:37:35
99,Codrington,-38.2667,141.9667,61.57,90,24,10.89,AU,2022-01-28 17:37:35
100,Kalianget,-7.05,113.9333,78.58,86,100,8.05,ID,2022-01-28 17:37:35
101,Qaanaaq,77.484,-69.3632,-12.08,64,76,7.54,GL,2022-01-28 17:32:42
102,Hasaki,35.7333,140.8333,28.8,50,100,11.68,JP,2022-01-28 17:32:44
103,Koutsouras,35.0339,25.9469,50.11,68,26,3.2,GR,2022-01-28 17:37:36
104,Lavrentiya,65.5833,-171.0,-11.09,99,12,3.96,RU,2022-01-28 17:37:36
105,Cidreira,-30.1811,-50.2056,73.85,58,85,12.3,BR,2022-01-28 17:37:37
106,Podgorodnyaya Pokrovka,51.8281,54.9874,10.53,94,95,7.05,RU,2022-01-28 17:37:37
107,Oistins,13.0667,-59.5333,78.89,73,75,9.22,BB,2022-01-28 17:37:38
108,Prainha,-1.8,-53.48,85.53,62,76,4.36,BR,2022-01-28 17:37:38
109,Mar Del Plata,-38.0023,-57.5575,77.02,66,20,15.99,AR,2022-01-28 17:27:49
110,Beringovskiy,63.05,179.3167,-6.41,94,86,3.38,RU,2022-01-28 17:37:39
111,Nome,64.5011,-165.4064,-18.33,69,0,4.61,US,2022-01-28 17:37:39
112,Yeppoon,-23.1333,150.7333,73.18,81,78,14.18,AU,2022-01-28 17:37:40
113,Kavieng,-2.5744,150.7967,81.54,77,49,7.38,PG,2022-01-28 17:37:40
114,Palembang,-2.9167,104.7458,78.89,89,40,0.0,ID,2022-01-28 17:37:41
115,Iqaluit,63.7506,-68.5145,-4.27,76,100,1.99,CA,2022-01-28 17:31:21
116,Juneau,58.3019,-134.4197,42.8,94,100,7.0,US,2022-01-28 17:35:18
117,Arlit,18.7369,7.3853,70.32,12,0,11.63,NE,2022-01-28 17:31:17
118,Tessalit,20.1986,1.0114,73.13,11,4,9.73,ML,2022-01-28 17:37:41
119,Barcelos,41.5388,-8.6151,62.85,52,0,4.27,PT,2022-01-28 17:37:42
120,Bedele,8.456,36.353,62.71,41,19,4.88,ET,2022-01-28 17:37:42
121,Noumea,-22.2763,166.4572,79.0,99,100,9.69,NC,2022-01-28 17:37:43
122,Taoudenni,22.6783,-3.9836,77.86,12,73,10.11,ML,2022-01-28 17:37:43
123,Pando,-34.7167,-55.95,78.19,56,20,10.36,UY,2022-01-28 17:37:43
124,Pacific Grove,36.6177,-121.9166,63.63,44,0,1.01,US,2022-01-28 17:37:44
125,Kulhudhuffushi,6.6221,73.07,81.68,70,10,18.88,MV,2022-01-28 17:37:44
126,Lompoc,34.6391,-120.4579,69.13,53,0,8.05,US,2022-01-28 17:29:39
127,Praia Da Vitoria,38.7333,-27.0667,61.75,88,20,11.68,PT,2022-01-28 17:37:45
128,Maebaru,33.55,130.2,40.8,55,100,2.91,JP,2022-01-28 17:37:45
129,Makakilo City,21.3469,-158.0858,70.29,83,0,5.75,US,2022-01-28 17:37:45
130,Mandali,33.7499,45.5541,49.53,54,15,2.98,IQ,2022-01-28 17:37:46
131,Muravlenko,63.7898,74.523,-3.17,100,92,9.42,RU,2022-01-28 17:37:46
132,Goderich,43.7501,-81.7165,12.9,66,46,11.5,CA,2022-01-28 17:38:47
133,Lebu,-37.6167,-73.65,65.46,77,23,8.63,CL,2022-01-28 17:31:16
134,Heze,35.2431,115.4411,34.16,42,100,2.48,CN,2022-01-28 17:38:47
135,Busselton,-33.65,115.3333,66.04,64,0,14.47,AU,2022-01-28 17:32:40
136,Tahoua,14.8888,5.2692,80.58,6,11,17.27,NE,2022-01-28 17:38:48
137,Mogadishu,2.0371,45.3438,77.65,79,36,20.09,SO,2022-01-28 17:37:06
138,Batemans Bay,-35.7167,150.1833,76.19,89,30,3.6,AU,2022-01-28 17:38:48
139,White Oak,39.2131,-84.5994,31.98,87,100,1.01,US,2022-01-28 17:38:48
140,Faya,18.3851,42.4509,57.31,76,17,5.77,SA,2022-01-28 17:38:49
141,Saint-Pierre,-21.3393,55.4781,78.48,69,75,10.36,RE,2022-01-28 17:38:49
142,Chimore,-16.9833,-65.1333,85.77,60,91,4.63,BO,2022-01-28 17:38:50
143,Muroto,33.2833,134.15,49.75,59,95,5.61,JP,2022-01-28 17:38:50
144,Diego De Almagro,-26.3667,-70.05,82.94,22,0,14.16,CL,2022-01-28 17:38:50
145,Torbay,47.6666,-52.7314,26.28,80,75,14.97,CA,2022-01-28 17:38:51
146,Avarua,-21.2078,-159.775,77.05,88,20,2.3,CK,2022-01-28 17:31:15
147,Souillac,-20.5167,57.5167,79.18,83,75,4.61,MU,2022-01-28 17:38:51
148,Mattru,7.6244,-11.8332,86.32,53,74,9.28,SL,2022-01-28 17:38:51
149,Saldanha,-33.0117,17.9442,71.65,77,0,28.1,ZA,2022-01-28 17:38:52
150,Flin Flon,54.7682,-101.865,-11.36,77,100,2.3,CA,2022-01-28 17:38:52
151,Thompson,55.7435,-97.8558,-11.04,77,75,8.05,CA,2022-01-28 17:38:53
152,Katsuura,35.1333,140.3,42.91,70,92,9.86,JP,2022-01-28 17:38:53
153,Mastic Beach,40.7668,-72.8521,35.96,65,100,1.01,US,2022-01-28 17:38:53
154,Peniche,39.3558,-9.3811,64.06,52,21,11.74,PT,2022-01-28 17:38:54
155,Talnakh,69.4865,88.3972,4.21,91,100,13.58,RU,2022-01-28 17:31:25
